month,day,day_of_week,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll7,pm2_5_roll14,pm2_5_std7,pm2_5
12,3,3,717.75,749.66,829.57,909.4842857142856,843.237142857143,212.80673100704487,716.9
12,4,4,716.9,717.75,749.66,836.2814285714286,866.1142857142858,167.88695397286136,716.79
12,4,4,716.79,716.9,717.75,776.0657142857143,879.4635714285714,93.78146704922399,733.43
12,4,4,733.43,716.79,716.9,755.0214285714286,890.8607142857143,49.52481076139807,821.05
12,4,4,821.05,733.43,716.79,762.1971428571427,898.3964285714286,63.72860103969096,879.8
12,4,4,879.8,821.05,733.43,754.3599999999999,883.6342857142856,68.7062064154317,694.8
12,4,4,694.8,879.8,821.05,747.2142857142857,858.6192857142858,75.4213640946958,667.73
12,4,4,667.73,694.8,879.8,742.4442857142857,825.9642857142857,78.64509178521357,683.51
12,4,4,683.51,667.73,694.8,692.1385714285715,764.2099999999999,164.0457398033212,364.65
12,4,4,364.65,683.51,667.73,626.6528571428571,701.3592857142858,224.98961285018495,275.03
12,4,4,275.03,364.65,683.51,547.64,651.3307142857142,241.83019207700255,267.96
12,4,4,267.96,275.03,364.65,470.11857142857144,616.1578571428572,201.16320989257875,337.15
12,4,4,337.15,267.96,275.03,435.7357142857143,595.0478571428572,175.26112231535575,454.12
12,4,4,454.12,337.15,267.96,418.2942857142857,582.7542857142856,152.98526365385032,545.64
12,4,4,545.64,454.12,337.15,406.90999999999997,574.6771428571428,131.40278231453095,603.82
12,4,4,603.82,545.64,454.12,444.82142857142856,568.48,153.58810668240463,630.03
12,4,4,630.03,603.82,545.64,493.69714285714286,560.175,144.7327680836058,617.16
12,4,4,617.16,630.03,603.82,532.2285714285714,539.9342857142857,105.09518073768022,537.68
12,4,4,537.68,617.16,630.03,556.9842857142856,513.5514285714286,63.769320172305775,510.44
12,4,4,510.44,537.68,617.16,561.2457142857143,498.49071428571426,56.310129893043026,483.95
12,4,4,483.95,510.44,537.68,548.0714285714286,483.18285714285713,69.75301437418787,453.42
12,4,4,453.42,483.95,510.44,522.8857142857142,464.8978571428571,77.65028479388447,427.52
12,4,4,427.52,453.42,483.95,491.4185714285714,468.11999999999995,71.371868974774,409.76
12,4,4,409.76,427.52,453.42,460.2328571428571,476.96500000000003,52.459512869222365,398.86
12,4,4,398.86,409.76,427.52,439.8157142857143,486.0221428571428,44.502097275349534,394.76
12,5,5,394.76,398.86,409.76,423.4428571428571,490.2135714285714,34.041837354586136,395.83
12,5,5,395.83,394.76,398.86,412.09714285714284,486.67142857142863,21.403213710626712,404.53
12,5,5,404.53,395.83,394.76,407.8371428571428,477.9542857142857,13.20536092436545,423.6
12,5,5,423.6,404.53,395.83,408.0857142857143,465.4857142857143,13.64661601171989,429.26
12,5,5,429.26,423.6,404.53,408.2842857142858,449.8514285714285,13.68509756041207,411.15
12,5,5,411.15,429.26,423.6,407.21,433.72142857142853,14.798110239708565,391.34
12,5,5,391.34,411.15,429.26,405.02142857142854,422.41857142857145,17.77894768967727,379.44
12,5,5,379.44,391.34,411.15,391.9642857142857,407.70357142857137,42.30302623419893,304.43
12,5,5,304.43,379.44,391.34,374.95,393.5235714285714,57.59417158011641,285.43
12,5,5,285.43,304.43,379.44,353.80428571428575,380.82071428571425,63.61356953175408,275.58
12,5,5,275.58,285.43,304.43,333.3957142857143,370.74071428571426,58.04354941396422,286.4
12,5,5,286.4,275.58,285.43,320.16142857142853,364.22285714285715,46.84042606857445,318.51
12,5,5,318.51,286.4,275.58,312.65,359.92999999999995,36.62585607645516,338.76
12,5,5,338.76,318.51,286.4,309.9585714285714,357.49000000000007,31.1884377232801,360.6
12,5,5,360.6,338.76,318.51,320.47285714285715,356.21857142857147,40.13646459861736,378.03
12,5,5,378.03,360.6,338.76,333.0,353.97499999999997,41.050435239266456,373.12
12,5,5,373.12,378.03,360.6,344.1328571428571,348.96857142857147,32.575168310786474,353.51
12,5,5,353.51,373.12,378.03,354.34000000000003,343.86785714285713,20.382289698000367,357.85
12,5,5,357.85,353.51,373.12,359.89285714285717,340.02714285714285,12.924392589572763,357.38
12,5,5,357.38,357.85,353.51,361.1871428571429,336.91857142857145,10.721237046600713,347.82
